Price1,Price2,Price3,Price4,Date
95.45541655743715,107.28769524291471,99.97253351108527,91.88324592970714,2023-03-02
95.46726492287401,107.16341555486196,99.99733014005527,91.87466479247769,2023-03-03
95.47262647231881,107.15613958585571,99.98736888021402,91.85612224235842,2023-03-04
95.4555849599371,107.14175576254742,99.99047502201525,91.84819214803524,2023-03-05
95.46318577632297,107.16100826060375,99.9730773567796,91.8557204966697,2023-03-06
95.4447388341702,107.1458203685816,99.97742209010234,91.82508320964406,2023-03-07
95.50636032635639,107.20099104527544,100.0337644288959,91.87442933476471,2023-03-08
95.47616966235218,107.20284878376266,100.01064919918458,91.90017248396805,2023-03-09
95.47626165547445,107.17341892919174,100.00254320375981,91.88044199656713,2023-03-10
95.42968123493687,107.14186412545143,100.00507017664269,91.88908670291373,2023-03-11
95.47131428232372,107.19985515676954,99.99889973016043,91.85903705948594,2023-03-12
95.43735623279879,107.1795411312939,99.99752530396854,91.90222988884639,2023-03-13
95.50313435300731,107.16962533483652,99.98067139139324,91.90710300392615,2023-03-14
95.47717355269545,107.20946509496544,99.96787989981843,91.85092320167104,2023-03-15
95.47207037092767,107.17142448499412,99.98997475571466,91.88396566316449,2023-03-16
95.46683335435259,107.17766510460672,99.99763301608307,91.87518411103524,2023-03-17
95.46067891183516,107.17238142505687,100.00923560497503,91.8902898261753,2023-03-18
95.47824580322401,107.18403215845099,99.98746406605586,91.8707092523084,2023-03-19
95.46197219194087,107.19492192813635,99.99478035553531,91.85187765839062,2023-03-20
95.47889599996142,107.2008930494258,100.00091057328224,91.85536571086742,2023-03-21
95.48805288632815,107.21416980481992,100.00107956872289,91.86433382428582,2023-03-22
95.46992761329622,107.1806308655613,99.99071785134099,91.85051326114322,2023-03-23
95.44849225252018,107.15094533906522,100.00452023014059,91.87509098138156,2023-03-24
95.4779968557088,107.16270761368237,99.99356511500814,91.88126213340558,2023-03-25
95.48916939987762,107.18782395109982,100.02927095221368,91.89174827188316,2023-03-26
95.45892912124087,107.1757119944294,100.0416733957406,91.90887668928299,2023-03-27
95.47168437909984,107.18000037354425,99.97668496118467,91.87719941073543,2023-03-28
95.46943855975587,107.15520050336255,100.00375804073678,91.871941027111,2023-03-29
95.46471172768612,107.15237367838671,100.00510222857366,91.86958263620902,2023-03-30
95.48232992942157,107.16779878031579,99.94965025608504,91.86164813699378,2023-03-31
95.44893415211783,107.17196790238852,99.98933928222779,91.86939869591824,2023-04-01
95.4686596233491,107.15516777398562,100.00279859516304,91.86730084267197,2023-04-02
95.4558907734882,107.10202193364358,99.94519432797912,91.82074257797731,2023-04-03
95.45729426958391,107.18397391080788,100.02483843434132,91.81716881708564,2023-04-04
95.4638327345994,107.16846276484475,100.01009494569126,91.87908137842614,2023-04-05
95.46561148321518,107.16113751011135,100.00184143489238,91.86846971034915,2023-04-06
95.45727837302606,107.21546809249325,99.96608486828706,91.85483157495098,2023-04-07
95.4535967336856,107.14817651135914,100.03206374241532,91.87709834917987,2023-04-08
95.48923108393566,107.13877671285626,99.99996878442927,91.85662869289395,2023-04-09
95.47904631528591,107.18869870721981,100.03782083318676,91.90855350875249,2023-04-10
95.47763095798307,107.186216639738,100.01177394727135,91.87131353186221,2023-04-11
95.47132488918099,107.17580407639494,99.99737193338918,91.86412035572204,2023-04-12
95.51022556211029,107.18550279421993,100.02053925323703,91.90709521643353,2023-04-13
95.49568165694377,107.19541783056334,100.05014427893768,91.87810405856783,2023-04-14
95.45322566744859,107.15136745780855,99.97243292689693,91.84809632558382,2023-04-15
95.47322232803623,107.17412573003523,99.99413818855362,91.8593455967588,2023-04-16
95.47271690430802,107.22717561580224,100.02244543496975,91.91707112445835,2023-04-17
95.45271919057342,107.14753803662158,100.02696246209747,91.89958892573922,2023-04-18
95.43311503486741,107.1722457492965,99.97517717716232,91.84360050290432,2023-04-19
95.50001391048178,107.19012051778043,100.02437493932959,91.87382776429226,2023-04-20
95.46586462085803,107.18205035524934,99.99403259394495,91.86071688836118,2023-04-21
95.46516290649002,107.15682511960556,100.01127723633552,91.86119625696028,2023-04-22
95.45043480498424,107.14929490207462,99.9688729169693,91.83703653705997,2023-04-23
95.48539110244786,107.18341200591706,100.01619110822512,91.86972441127004,2023-04-24
95.48049427998106,107.18649368339533,99.99434255226488,91.85893817477579,2023-04-25
95.48151619644105,107.22795055106825,100.02228685071621,91.8754784964081,2023-04-26
95.45417599240645,107.15184531605834,99.9538335173106,91.88164381449847,2023-04-27
95.43478472071872,107.15481039017075,99.95315858119763,91.83387689573544,2023-04-28
95.46792238553175,107.18027477267323,99.99994521001692,91.85463922867355,2023-04-29
95.46420202977014,107.16396927178326,99.98532529635638,91.85485279378288,2023-04-30
95.47100889718807,107.16247567126109,99.98894484939264,91.85554820723736,2023-05-01
